sample,total_cells,count_Ductal cell type 1,count_Ductal cell type 2,count_Acinar cell,count_Endocrine cell,count_Fibroblast cell,count_Stellate cell,count_Endothelial cell,count_Macrophage cell,count_T cell,count_B cell,prop_Ductal cell type 1,prop_Ductal cell type 2,prop_Acinar cell,prop_Endocrine cell,prop_Fibroblast cell,prop_Stellate cell,prop_Endothelial cell,prop_Macrophage cell,prop_T cell,prop_B cell
AM67,1946,0,1642,0,1,3,1,1,163,134,1,0.0,0.8437821171634121,0.0,0.0005138746145940391,0.001541623843782117,0.0005138746145940391,0.0005138746145940391,0.08376156217882837,0.06885919835560124,0.0005138746145940391
BW21,9363,92,2003,0,3,50,87,253,940,5063,872,0.009825910498771762,0.2139271600982591,0.0,0.0003204101249599487,0.005340168749332479,0.009291893623838513,0.027021253871622342,0.1003951724874506,0.5407454875574068,0.09313254298835844
MK336,1361,2,13,45,0,1,1,7,63,1220,9,0.0014695077149155032,0.009551800146950772,0.03306392358559882,0.0,0.0007347538574577516,0.0007347538574577516,0.005143277002204262,0.046289493019838354,0.896399706098457,0.006612784717119765
MK359,1680,0,1180,0,0,7,8,1,224,248,12,0.0,0.7023809523809523,0.0,0.0,0.004166666666666667,0.004761904761904762,0.0005952380952380953,0.13333333333333333,0.14761904761904762,0.007142857142857143
MK362,6140,22,4118,0,8,18,10,20,1067,827,50,0.0035830618892508143,0.6706840390879479,0.0,0.0013029315960912053,0.0029315960912052116,0.0016286644951140066,0.003257328990228013,0.17377850162866448,0.13469055374592834,0.008143322475570033
MK364,2178,1,526,0,6,10,2,3,535,1051,44,0.0004591368227731864,0.24150596877869604,0.0,0.0027548209366391185,0.004591368227731864,0.0009182736455463728,0.0013774104683195593,0.24563820018365473,0.4825528007346189,0.020202020202020204
MK371,3437,0,2373,0,0,19,18,5,510,490,22,0.0,0.6904276985743381,0.0,0.0,0.005528076811172534,0.00523712540005819,0.0014547570555717194,0.1483852196683154,0.1425661914460285,0.006400931044515566
MK447,699,5,67,0,1,0,0,0,75,545,6,0.00715307582260372,0.09585121602288985,0.0,0.001430615164520744,0.0,0.0,0.0,0.1072961373390558,0.7796852646638054,0.008583690987124463
